Ingredient,Thai name,English name,Scientific name,Color,Color (Keyword),Flavor,Flavor (Keyword),Properties,Nutrition,Benefits,Benefits (Keyword),Cooking Type,frequency,Types,ปล. right now ส่องหมวดกับlist ในลิ้งนี้ https://en.wikipedia.org/wiki/List_of_Thai_ingredients#Insects
Phrik lap,พริกลาบ,Ground Dried Chili,,Red,Red,Phrik Lap is a type of ground dried chili with a moderately spicy and smoky flavor.,Spicy,Phrik Lap is used to add both heat and smokiness to Thai dishes.,"Similar to dried chillies, Phrik Lap contains capsaicin and offers similar potential health benefits.",The capsaicin in Phrik Lap may aid digestion and provide pain relief.,Culinary and HealthPotential,Ground,Phrik Lap is used in dishes like Laab (a minced meat salad) for spiciness and flavor. It's not commonly substituted due to its unique smoky profile.,,
Phrik pon,พริกป่น,Ground Dried Chili Powder,,Red or reddish-brown,Red or brown,Phrik Pon is ground dried chili powder with a moderately spicy flavor.,Spicy,Phrik Pon is used to add heat to Thai dishes.,Contains capsaicin like other chili-based ingredients.,"Similar to other chili products, Phrik Pon can have metabolism-boosting and pain-relieving effects.",Culinary and HealthPotential,Ground,Phrik Pon is used as a spice in various Thai dishes. It's not commonly substituted as it's a specific form of chili powder.,,
Phrik thai dam,พริกไทยดำ,Black pepper,Piper nigrum,Dark brown to black,Black,Black pepper has a sharp and pungent flavor with a hint of heat,Spicy,Black pepper is used for its spiciness and flavor,Black pepper contains antioxidants and may have digestive benefits.,Black pepper is believed to aid digestion and enhance nutrient absorption.,Culinary and HealthPotential,Ground,Black pepper is used in various Thai dishes for spiciness. It's commonly used and can be substituted with white pepper if milder heat is desired.,,
Phrik thai khao,พริกไทยขาว,White pepper,Piper nigrum,Light beige,Beige,White pepper has a milder and more delicate flavor compared to black pepper.,Spicy,White pepper is used for its subtle spiciness and flavor.,White pepper contains similar antioxidants to black pepper.,White pepper is thought to have digestive benefits and may be gentler on the stomach than black pepper.,Culinary and HealthPotential,Ground,"White pepper is used in Thai cooking, particularly in dishes where a milder heat and appearance are desired. It can be used as a substitute for black pepper.",,
Thian khao plueak,เทียนข้าวเปลือก,Fennel seeds,Foeniculum vulgare,Small and greenish-brown,Brown,"Fennel seeds have a sweet, licorice-like flavor with a hint of warmth",Sweet,Fennel seeds are used for their aromatic and slightly sweet flavor.,"Fennel seeds contain fiber, vitamins, and minerals.",Fennel seeds are believed to aid digestion and may have antioxidant properties.,Culinary and HealthPotential,Ground,"Fennel seeds are used in Thai cuisine, often in desserts or as a seasoning. They can be substituted with anise seeds or star anise for a similar flavor.",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,"Herbs are obtained from the leaves of herbaceous (non-woody) plants. They are used for savory purposes in cooking and some have medicinal value. Herbs often are used in larger amounts than spices. Herbs originated from temperate climates such as Italy, France, and England. Herb also is a word used to define any herbaceous plant that dies down at the end of the growing season and may not refer to its culinary value at all.",,,,
